Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
Seoul,1988,100.0,Freestyle,0,Men,URS,Gennady Prigoda,49.75,4,0.0,,
Barcelona,1992,100.0,Freestyle,0,Men,EUN,Gennady Prigoda,50.25,4,1.0,49.75,49.75
Sydney,2000,100.0,Butterfly,0,Men,AUS,Geoffrey Huegill,52.22,3,0.0,,
Athens,2004,100.0,Butterfly,0,Men,AUS,Geoffrey Huegill,52.56,4,1.0,52.22,52.22
London,2012,50.0,Freestyle,0,Men,TTO,George Bovell,21.82,4,0.0,,
Athens,2004,200.0,Individual medley,0,Men,TTO,George Bovell,118.8,3,0.0,,
Amsterdam,1928,100.0,Backstroke,0,Men,USA,George Harold Kojac,68.2,1,0.0,,
Amsterdam,1928,100.0,Freestyle,0,Men,USA,George Harold Kojac,60.8,2,0.0,,
Stockholm,1912,200.0,Breaststroke,0,Men,GBR,George Innocent,,0,0.0,,
Stockholm,1912,400.0,Breaststroke,0,Men,GBR,George Innocent,,0,0.0,,
Stockholm,1912,400.0,Freestyle,0,Men,CAN,George Ritchie Hodgson,324.4,1,0.0,,
Stockholm,1912,1500.0,Freestyle,0,Men,CAN,George Ritchie Hodgson,1320.0,1,0.0,,
City,1968,200.0,Individual medley,0,Men,CAN,George Smith,135.9,4,0.0,,
Melbourne,1956,400.0,Freestyle,0,Men,USA,George Thomas Breen,272.5,3,0.0,,
Melbourne,1956,1500.0,Freestyle,0,Men,USA,George Thomas Breen,1088.2,3,0.0,,
Rome,1960,1500.0,Freestyle,0,Men,USA,George Thomas Breen,1050.599999,3,1.0,1088.2,1088.2
Angeles,1984,400.0,Freestyle,0,Men,USA,George Thomas Dicarlo,231.23,1,0.0,,
Angeles,1984,1500.0,Freestyle,0,Men,USA,George Thomas Dicarlo,910.59,2,0.0,,
Antwerp,1920,400.0,Freestyle,0,Men,CAN,George Vernot,329.6,4,0.0,,
Antwerp,1920,1500.0,Freestyle,0,Men,CAN,George Vernot,1356.4,2,0.0,,
London,1948,100.0,Backstroke,0,Men,FRA,Georges Vallerey Jr.,67.8,3,0.0,,
Tokyo,1964,200.0,Breaststroke,0,Men,URS,Georgi Prokopenko,148.2,2,0.0,,
City,1968,100.0,Freestyle,0,Men,URS,Georgijs Kuļikovs,53.8,4,0.0,,
Athens,2004,400.0,Individual medley,0,Women,ARG,Georgina Bardach,277.51,3,0.0,,
Angeles,1984,200.0,Backstroke,0,Women,AUS,Georgina Parkes,134.37,4,0.0,,
Angeles,1984,100.0,Breaststroke,0,Men,FRG,Gerald Morken,63.95,4,0.0,,
Antwerp,1920,100.0,Backstroke,0,Men,BEL,Gerard Blitz,79.0,4,0.0,,
Paris,1924,100.0,Backstroke,0,Men,BEL,Gerard Blitz,79.6,4,1.0,79.0,79.0
Melbourne,1956,100.0,Backstroke,0,Women,AUS,Gerganiya Beckitt,74.7,4,0.0,,
London,2012,400.0,Freestyle,0,Men,HUN,Gergo Kis,227.03,4,0.0,,
Beijing,2008,400.0,Individual medley,0,Men,HUN,Gergo Kis,252.84,4,0.0,,
Tokyo,1964,400.0,Individual medley,0,Men,GER,Gerhard Hetz,291.0,3,0.0,,
Helsinki,1952,100.0,Backstroke,0,Women,GER,Gertrud Herrbruck,78.0,4,0.0,,
Paris,1924,100.0,Freestyle,0,Women,USA,Gertrude Ederle,74.2,3,0.0,,
Paris,1924,400.0,Freestyle,0,Women,USA,Gertrude Ederle,364.8,3,0.0,,
London,1948,100.0,Freestyle,0,Men,HUN,Geza Kadas,58.1,4,0.0,,
